Id,Designator,Package,Quantity,Designation,Supplier,Part number,Price per,Total per board
3,"C16,C19,C18,C17,C15,C14,C6,C5,C4",C_0805_2012Metric,9,0.1uF,digikey,08053C104KAT2A,0.14,1.26
4,"U4,U3",TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm,2,IS31FL3733-TQ,digikey,IS31FL3733B-TQLS4-TR,4.94,9.88
5,"R14,R13",R_0805_2012Metric,2,20K,digikey,RMCF0805JT20K0,0.15,0.3
6,"R12,R11,R10,R9",R_0805_2012Metric,4,100K,digikey,RMCF0805JT100K,0.15,0.6
7,D1-54,RGB_3528_Blue_Notch-MX,54,6028 LED,aliexpress,/item/32834931333,0.122142857142857,6.59571428571429
8,"C21,C20,C13,C12,C11,C10,C9,C8",C_0805_2012Metric,8,0.47uF,digikey,CL21B474KOFNNNE,0.14,1.12
10,"R7,R6",R_0805_2012Metric,2,4.7k,digikey,ERJ-PB6B4701V,0.48,0.96
11,J3,USB_C_GCT_USB4085,1,I2C-R,mouser,USB4085-GF-A,1.28,1.28
12,J2,USB_C_GCT_USB4085,1,I2C-L,mouser,USB4085-GF-A,1.28,1.28
73,J1,USB_C_GCT_USB4085,1,USB_C_Receptacle_USB2.0,mouser,USB4085-GF-A,1.28,1.28
16,F1,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,500mA,digikey,0ZCK0050FF2E,0.25,0.25
17,D1-54,D_SOD-123,54,1N4148W,digikey,1N4148W RHG,0.23,12.42
20,SW1,SW_SPST_TL3342,1,Reset,digikey,TL3342F160QG/TR,0.96,0.96
74,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,digikey,ECS-160-8-33-RHN-TR,0.81,0.81
75,U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017_SO,mouser,579-MCP23017T-E/SO,1.92,1.92
76,U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-AU,digikey,ATMEGA32U4RC-AU,7.46,7.46
77,"R8,R1",R_0805_2012Metric,2,10k,digikey,RMCF0805JT10K0,0.15,0.3
78,"R5,R4",R_0805_2012Metric,2,22,digikey,RMCF0805FT22R0,0.15,0.3
79,"R3,R2",R_0805_2012Metric,2,5.1K,digikey,RMCF0805FT5K10,0.15,0.3
80,C7,C_0805_2012Metric,1,10uF,digikey,C0805C106K9PACTU,0.2,0.2
81,C3,C_0805_2012Metric,1,1uF,digikey,08056D104KAT2A,0.14,0.14
82,"C2,C1",C_0805_2012Metric,2,22pF,digikey,CL21A226MQQNNNE,0.2,0.4
,,,,,,,,50.0157142857143
